k,condition,n,recovery_success_rate,action_accuracy,mean_payload_tokens_proxy,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,policy_action_accuracy,mean_policy_tokens,mean_end_to_end_tokens
5,P1,18,0.8333333333333334,0.8333333333333334,76.83333333333333,392.8333333333333,135,527.8333333333334,,0,527.8333333333334
5,P1-pad,18,0.8333333333333334,0.8333333333333334,110.5,434.1666666666667,116.38888888888889,550.5555555555555,,0,550.5555555555555
5,P2,18,0.8333333333333334,0.8888888888888888,88,409.6666666666667,116.72222222222223,526.3888888888889,,0,526.3888888888889
5,P3,18,1,1,110.5,435.8333333333333,106.22222222222223,542.0555555555555,,0,542.0555555555555
5,P4,18,0.7222222222222222,0.7222222222222222,126,465.6666666666667,110.72222222222223,576.3888888888889,,0,576.3888888888889
5,P5,18,0.8333333333333334,0.8333333333333334,105.66666666666667,434.6666666666667,91.88888888888889,526.5555555555555,0.8333333333333334,427.6666666666667,954.2222222222222
5,P5-oracle,18,1,1,91.66666666666667,417.3333333333333,117.11111111111111,534.4444444444445,,0,534.4444444444445
5,adaptive,18,0.8333333333333334,0.8333333333333334,105.66666666666667,434.6666666666667,92.77777777777777,527.4444444444445,0.8333333333333334,427.6666666666667,955.1111111111111
6,P0,18,0,0.16666666666666666,6,235.5,209.61111111111111,445.1111111111111,,0,445.1111111111111
6,P1,18,0.6666666666666666,0.6666666666666666,76.16666666666667,390.3333333333333,120.5,510.8333333333333,,0,510.8333333333333
6,P1-pad,18,0.6666666666666666,0.6666666666666666,110.5,432.5,114.83333333333333,547.3333333333334,,0,547.3333333333334
6,P2,18,0.8333333333333334,0.8333333333333334,87.33333333333333,407.3333333333333,100.22222222222223,507.55555555555554,,0,507.55555555555554
6,P3,18,1,1,110.5,434.3333333333333,94.61111111111111,528.9444444444445,,0,528.9444444444445
6,P4,18,0.7777777777777778,0.7777777777777778,125.33333333333333,463.3333333333333,112.55555555555556,575.8888888888889,,0,575.8888888888889
6,P5,18,1,1,105.5,432.6666666666667,94.33333333333333,527,1,425.6666666666667,952.6666666666666
6,P5-oracle,18,1,1,91.33333333333333,415.3333333333333,94.5,509.8333333333333,,0,509.8333333333333
6,adaptive,18,1,1,105.5,432.6666666666667,95.5,528.1666666666666,1,425.6666666666667,953.8333333333334
7,P0,18,0,0,6,235.5,191.88888888888889,427.3888888888889,,0,427.3888888888889
7,P1,18,0.6666666666666666,0.6666666666666666,77.16666666666667,393.6666666666667,114.66666666666667,508.3333333333333,,0,508.3333333333333
7,P1-pad,18,0.6111111111111112,0.6111111111111112,112.16666666666667,436.6666666666667,116.88888888888889,553.5555555555555,,0,553.5555555555555
7,P2,18,0.8333333333333334,0.8333333333333334,88.33333333333333,410.6666666666667,92.11111111111111,502.77777777777777,,0,502.77777777777777
7,P3,18,1,1,112.16666666666667,438.3333333333333,87.83333333333333,526.1666666666666,,0,526.1666666666666
7,P4,18,0.7777777777777778,0.7777777777777778,126.33333333333333,466.6666666666667,100,566.6666666666666,,0,566.6666666666666
7,P5,18,0.8333333333333334,0.8333333333333334,102.83333333333333,430.8333333333333,94.88888888888889,525.7222222222222,1,424,949.7222222222222
7,P5-oracle,18,1,1,92.5,419,87.61111111111111,506.6111111111111,,0,506.6111111111111
7,adaptive,18,0.8333333333333334,0.8333333333333334,102.83333333333333,430.8333333333333,94.94444444444444,525.7777777777778,1,424,949.7777777777778
8,P0,18,0,0,6,235.5,184.38888888888889,419.8888888888889,,0,419.8888888888889
8,P1,18,0.6666666666666666,0.6666666666666666,77.16666666666667,393.6666666666667,123.55555555555556,517.2222222222222,,0,517.2222222222222
8,P1-pad,18,0.6111111111111112,0.6111111111111112,112.16666666666667,436.6666666666667,106.44444444444444,543.1111111111111,,0,543.1111111111111
8,P2,18,0.8333333333333334,0.8333333333333334,88.33333333333333,410.6666666666667,96.11111111111111,506.77777777777777,,0,506.77777777777777
8,P3,18,1,1,112.16666666666667,438.3333333333333,85.05555555555556,523.3888888888889,,0,523.3888888888889
8,P4,18,0.7777777777777778,0.7777777777777778,126.33333333333333,466.6666666666667,106.5,573.1666666666666,,0,573.1666666666666
8,P5,18,1,1,105.16666666666667,433.5,88.16666666666667,521.6666666666666,1,426.6666666666667,948.3333333333334
8,P5-oracle,18,1,1,92.5,419,86.22222222222223,505.22222222222223,,0,505.22222222222223
8,adaptive,18,1,1,105.16666666666667,433.5,86.55555555555556,520.0555555555555,1,426.6666666666667,946.7222222222222
