k,condition,n,recovery_success_rate,action_accuracy,mean_payload_tokens_proxy,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,policy_action_accuracy,mean_policy_tokens,mean_end_to_end_tokens
15,P3,24,0.7916666666666666,0.7916666666666666,184.125,763.125,178.08333333333334,941.2083333333334,,0,941.2083333333334
15,P4,24,0.6666666666666666,0.7083333333333334,214.5,814.375,161.04166666666666,975.4166666666666,,0,975.4166666666666
15,P5,24,0.625,0.625,193.375,777.375,85.58333333333333,862.9583333333334,0.625,769,1631.9583333333333
15,P5-oracle,24,1,1,180.5,761.5,142.375,903.875,,0,903.875
15,adaptive,24,0.625,0.625,193.375,777.375,85.95833333333333,863.3333333333334,0.625,769,1632.3333333333333
16,P0,24,0,0.25,6,234,199.79166666666666,433.7916666666667,,0,433.7916666666667
16,P1,24,0.7916666666666666,0.7916666666666666,171.5,762.25,200.25,962.5,,0,962.5
16,P1-pad,24,0.75,0.75,190.125,787.75,207.41666666666666,995.1666666666666,,0,995.1666666666666
16,P2,24,0.75,0.7916666666666666,182.5,778.875,145.16666666666666,924.0416666666666,,0,924.0416666666666
16,P3,24,0.75,0.75,190.125,788.625,198,986.625,,0,986.625
16,P4,24,0.6666666666666666,0.7083333333333334,220.5,839.875,152.20833333333334,992.0833333333334,,0,992.0833333333334
16,P5,24,0.625,0.625,200.125,803.375,94.41666666666667,897.7916666666666,0.625,795,1692.7916666666667
16,P5-oracle,24,1,1,186.5,787,149.70833333333334,936.7083333333334,,0,936.7083333333334
16,adaptive,24,0.625,0.625,200.125,803.375,96.83333333333333,900.2083333333334,0.625,795,1695.2083333333333
