k,condition,n,recovery_success_rate,action_accuracy,mean_payload_tokens_proxy,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens
3,P5,18,1,1,87.83333333333333,408.5,132.5,541
3,adaptive,18,1,1,74.66666666666667,387.1666666666667,148.61111111111111,535.7777777777778
4,P0,18,0,0.5,6,235.5,214.22222222222223,449.72222222222223
4,P1,18,0.8333333333333334,0.8333333333333334,76.83333333333333,392.1666666666667,126.5,518.6666666666666
4,P1-pad,18,0.8333333333333334,0.8333333333333334,109.83333333333333,432.6666666666667,116.61111111111111,549.2777777777778
4,P2,18,0.8333333333333334,0.8888888888888888,88.16666666666667,409,125.61111111111111,534.6111111111111
4,P3,18,1,1,109.83333333333333,434.5,108.77777777777777,543.2777777777778
4,P4,18,0.8333333333333334,0.8333333333333334,119.16666666666667,455,116.16666666666667,571.1666666666666
4,P5,18,1,1,90.5,414.3333333333333,119.44444444444444,533.7777777777778
4,adaptive,18,1,1,90.5,414.3333333333333,118.27777777777777,532.6111111111111
5,P0,18,0,0.3333333333333333,6,235.5,207.72222222222223,443.22222222222223
5,P1,18,0.8333333333333334,0.8333333333333334,76.83333333333333,392.8333333333333,128.61111111111111,521.4444444444445
5,P1-pad,18,0.8333333333333334,0.8333333333333334,110.5,434.1666666666667,114.77777777777777,548.9444444444445
5,P2,18,0.8333333333333334,0.8333333333333334,88,409.6666666666667,100.61111111111111,510.27777777777777
5,P3,18,1,1,110.5,435.8333333333333,108.44444444444444,544.2777777777778
5,P4,18,0.7222222222222222,0.7777777777777778,126,465.6666666666667,122,587.6666666666666
5,P5,18,1,1,90.66666666666667,415.3333333333333,115.05555555555556,530.3888888888889
5,adaptive,18,1,1,90.66666666666667,415.3333333333333,114,529.3333333333334
6,P0,18,0,0.16666666666666666,6,235.5,209,444.5
6,P1,18,0.6666666666666666,0.6666666666666666,76.16666666666667,390.3333333333333,122.83333333333333,513.1666666666666
6,P1-pad,18,0.6666666666666666,0.6666666666666666,110.5,432.5,109.44444444444444,541.9444444444445
6,P2,18,0.8333333333333334,0.8333333333333334,87.33333333333333,407.3333333333333,106.27777777777777,513.6111111111111
6,P3,18,1,1,110.5,434.3333333333333,93.72222222222223,528.0555555555555
6,P4,18,0.8333333333333334,0.8333333333333334,125.33333333333333,463.3333333333333,108.5,571.8333333333334
6,P5,18,1,1,90.33333333333333,413.3333333333333,100.66666666666667,514
6,adaptive,18,1,1,90.33333333333333,413.3333333333333,96.77777777777777,510.1111111111111
7,P0,18,0,0,6,235.5,205.27777777777777,440.77777777777777
7,P1,18,0.6666666666666666,0.6666666666666666,77.16666666666667,393.6666666666667,116.33333333333333,510
7,P1-pad,18,0.6111111111111112,0.6111111111111112,112.16666666666667,436.6666666666667,115.94444444444444,552.6111111111111
7,P2,18,0.8333333333333334,0.8333333333333334,88.33333333333333,410.6666666666667,89.16666666666667,499.8333333333333
7,P3,18,1,1,112.16666666666667,438.3333333333333,86.77777777777777,525.1111111111111
7,P4,18,0.8333333333333334,0.8333333333333334,126.33333333333333,466.6666666666667,97.94444444444444,564.6111111111111
7,P5,18,1,1,91.5,417,89.22222222222223,506.22222222222223
7,adaptive,18,1,1,91.5,417,89.38888888888889,506.3888888888889
8,P0,18,0,0,6,235.5,191.72222222222223,427.22222222222223
8,P1,18,0.6666666666666666,0.6666666666666666,77.16666666666667,393.6666666666667,122.55555555555556,516.2222222222222
8,P1-pad,18,0.6111111111111112,0.6111111111111112,112.16666666666667,436.6666666666667,112.16666666666667,548.8333333333334
8,P2,18,0.8333333333333334,0.8333333333333334,88.33333333333333,410.6666666666667,91.88888888888889,502.55555555555554
8,P3,18,1,1,112.16666666666667,438.3333333333333,86.33333333333333,524.6666666666666
8,P4,18,0.7777777777777778,0.7777777777777778,126.33333333333333,466.6666666666667,98.38888888888889,565.0555555555555
8,P5,18,1,1,91.5,417,89.55555555555556,506.55555555555554
8,adaptive,18,1,1,91.5,417,87.94444444444444,504.94444444444446
